clone_timestamp,total_clones,unique_clones
"2025-03-15",18,14
"2025-03-16",7,4
"2025-03-18",1,1
"2025-03-19",8,6
"2025-03-20",2,1
"2025-03-21",3,3
"2025-03-22",1,1
"2025-03-24",1,1
"2025-03-26",1,1
"2025-03-27",1,1
"2025-03-28",1,1
"2025-03-31",3,2
"2025-04-02",3,2
"2025-04-03",1,1
"2025-04-04",1,1
"2025-04-05",1,1
"2025-04-07",1,1
"2025-04-08",1,1
"2025-04-09",1,1
"2025-04-11",2,2
"2025-04-12",3,2
"2025-04-13",2,2
"2025-04-14",3,2
"2025-04-15",2,2
"2025-04-16",3,1
"2025-04-17",1,1
"2025-04-18",2,1
"2025-04-19",8,1
"2025-04-20",2,1
"2025-04-21",2,2
"2025-04-22",8,6
"2025-04-23",1,1
"2025-04-24",12,11
"2025-04-25",12,12
"2025-04-26",7,7
"2025-04-27",2,2
"2025-04-28",7,4
"2025-04-29",3,3
"2025-04-30",4,4
"2025-05-01",2,2
"2025-05-02",2,2
"2025-05-03",1,1
"2025-05-04",2,2
"2025-05-05",1,1
"2025-05-06",4,4
"2025-05-07",10,9
"2025-05-08",4,4
"2025-05-09",2,2
"2025-05-22",9,9
"2025-05-23",18,18
"2025-05-24",32,32
"2025-05-25",14,14
"2025-05-28",2,2
"2025-06-12",1,1
"2025-06-15",1,1
"2025-06-21",1,1
"2025-06-22",16,16
"2025-06-27",1,1
"2025-07-01",1,1
"2025-07-03",1,1
"2025-07-05",1,1
"2025-07-06",1,1
"2025-07-08",1,1
"2025-07-09",4,4
"2025-07-10",4,3
"2025-07-11",2,2
"2025-07-12",2,1
"2025-07-13",1,1
"2025-07-15",2,2
"2025-07-27",1,1
"2025-07-31",1,1
"2025-08-01",1,1
"2025-08-08",8,8
"2025-08-09",2,2
"2025-08-10",5,5
"2025-08-11",4,4
"2025-08-12",7,7
"2025-08-13",6,6
"2025-08-14",2,2
"2025-08-15",9,9
"2025-08-16",8,8
"2025-08-17",7,6
"2025-08-18",31,31
"2025-08-19",4,4
"2025-08-20",9,9
"2025-08-21",12,12
"2025-08-22",27,27
"2025-08-23",4,4
"2025-08-25",8,8
"2025-08-26",8,8
"2025-08-27",2,2
"2025-08-28",40,40
"2025-08-29",18,18
"2025-08-30",7,7
"2025-08-31",3,3
"2025-09-01",2,2
"2025-09-02",15,15
"2025-09-03",1,1
"2025-09-04",4,4
"2025-09-05",3,3
"2025-09-06",4,4
"2025-09-07",4,4
"2025-09-08",6,5
"2025-09-09",11,11
"2025-09-10",8,8
"2025-09-11",4,4
"2025-09-12",2,2
"2025-09-14",2,2
"2025-09-15",15,15
"2025-09-16",28,28
"2025-09-17",46,46
"2025-09-18",2,2
"2025-09-19",9,8
"2025-09-20",2,1
"2025-09-21",12,11
"2025-09-22",6,5
"2025-09-23",2,2
"2025-09-24",8,8
"2025-09-25",4,4
"2025-09-26",14,13
"2025-09-27",8,7
"2025-09-28",10,10
"2025-09-29",14,13
"2025-09-30",8,8
"2025-10-01",26,26
"2025-10-02",26,26
"2025-10-03",25,25
"2025-10-04",42,42
"2025-10-05",232,219
"2025-10-06",70,68
"2025-10-07",2,2
"2025-10-08",1,1
"2025-10-09",7,7
"2025-10-10",27,27
"2025-10-11",171,165
"2025-10-12",271,262
"2025-10-13",1,1
"2025-10-14",4,3
"2025-10-15",3,2
"2025-10-17",8,7
"2025-10-18",60,54
"2025-10-19",12,12
"2025-10-20",37,36
"2025-10-21",111,109
"2025-10-22",7,6
"2025-10-23",10,9
"2025-10-24",14,13
"2025-10-25",54,54
"2025-10-26",188,179
"2025-10-27",38,38
