visitor_timestamp,total_visitors,unique_visitors
"2025-03-15",3,1
"2025-03-16",5,1
"2025-03-19",1,1
"2025-03-21",2,2
"2025-04-01",1,1
"2025-04-16",1,1
"2025-04-29",4,2
"2025-06-07",3,1
"2025-06-20",1,1
"2025-06-22",3,1
"2025-06-25",1,1
"2025-07-12",2,1
"2025-08-08",3,1
"2025-08-10",2,1
"2025-08-20",3,1
"2025-08-21",3,1
"2025-08-28",3,1
"2025-09-01",5,1
"2025-09-02",9,2
"2025-09-06",9,2
"2025-09-07",4,2
"2025-09-10",4,1
"2025-09-11",4,1
"2025-10-02",1,1
"2025-10-18",3,1
"2025-10-22",1,1
"2025-10-29",11,1
"2025-11-18",1,1
"2025-11-21",1,1
"2025-11-24",1,1
"2025-12-02",1,1
"2025-12-21",1,1
