collection_timestamp,clone_timestamp,total_clones,unique_clones
"2024-12-01T13:19:47Z","2024-11-17T00:00:00Z",6,4
"2024-12-01T13:19:47Z","2024-11-18T00:00:00Z",16,14
"2024-12-01T13:19:47Z","2024-11-19T00:00:00Z",11,9
"2024-12-01T13:19:47Z","2024-11-20T00:00:00Z",28,20
"2024-12-01T13:19:47Z","2024-11-21T00:00:00Z",30,15
"2024-12-01T13:19:47Z","2024-11-22T00:00:00Z",27,10
"2024-12-01T13:19:47Z","2024-11-23T00:00:00Z",42,24
"2024-12-01T13:19:47Z","2024-11-24T00:00:00Z",43,18
"2024-12-01T13:19:47Z","2024-11-25T00:00:00Z",27,12
"2024-12-01T13:19:47Z","2024-11-26T00:00:00Z",40,19
"2024-12-01T13:19:47Z","2024-11-27T00:00:00Z",6,4
"2024-12-01T13:19:47Z","2024-11-28T00:00:00Z",11,9
"2024-12-01T13:19:47Z","2024-11-29T00:00:00Z",28,18
"2024-12-01T13:19:47Z","2024-11-30T00:00:00Z",50,10
"2024-12-01T13:19:47Z","2024-12-01T00:00:00Z",3,3
"2024-12-01T13:30:25.018968540+0000","2024-11-17T00:00:00Z",6,4
"2024-12-01T13:30:25.018968540+0000","2024-11-18T00:00:00Z",16,14
"2024-12-01T13:30:25.018968540+0000","2024-11-19T00:00:00Z",11,9
"2024-12-01T13:30:25.018968540+0000","2024-11-20T00:00:00Z",28,20
"2024-12-01T13:30:25.018968540+0000","2024-11-21T00:00:00Z",30,15
"2024-12-01T13:30:25.018968540+0000","2024-11-22T00:00:00Z",27,10
"2024-12-01T13:30:25.018968540+0000","2024-11-23T00:00:00Z",42,24
"2024-12-01T13:30:25.018968540+0000","2024-11-24T00:00:00Z",43,18
"2024-12-01T13:30:25.018968540+0000","2024-11-25T00:00:00Z",27,12
"2024-12-01T13:30:25.018968540+0000","2024-11-26T00:00:00Z",40,19
"2024-12-01T13:30:25.018968540+0000","2024-11-27T00:00:00Z",6,4
"2024-12-01T13:30:25.018968540+0000","2024-11-28T00:00:00Z",11,9
"2024-12-01T13:30:25.018968540+0000","2024-11-29T00:00:00Z",28,18
"2024-12-01T13:30:25.018968540+0000","2024-11-30T00:00:00Z",50,10
"2024-12-01T13:30:25.018968540+0000","2024-12-01T00:00:00Z",3,3
