clone_timestamp,total_clones,unique_clones
"2025-05-25",46,2
"2025-05-26",45,2
"2025-05-27",48,2
"2025-05-28",97,33
"2025-05-29",74,24
"2025-05-30",75,25
"2025-05-31",78,23
"2025-06-01",73,27
"2025-06-02",79,26
"2025-06-03",68,21
"2025-06-04",79,30
"2025-06-05",67,21
"2025-06-06",81,27
"2025-06-07",147,48
"2025-06-08",74,34
"2025-06-09",54,24
"2025-06-10",50,26
"2025-06-11",51,27
"2025-06-12",63,34
"2025-06-13",53,29
"2025-06-14",55,28
"2025-06-15",58,33
"2025-06-16",55,34
"2025-06-17",50,25
"2025-06-18",51,27
"2025-06-19",57,34
"2025-06-20",45,21
"2025-06-21",51,24
"2025-06-22",48,23
"2025-06-23",52,26
"2025-06-24",48,25
"2025-06-25",38,18
"2025-06-26",45,25
"2025-06-27",49,28
"2025-06-28",52,27
"2025-06-29",54,33
"2025-06-30",50,28
"2025-07-01",47,25
"2025-07-02",46,23
"2025-07-03",42,21
"2025-07-04",48,26
"2025-07-05",26,16
