visitor_timestamp,total_visitors,unique_visitors
"2025-05-28",28,1
"2025-06-06",2,1
"2025-06-07",46,1
"2025-06-08",6,1
"2025-06-09",3,1
"2025-06-10",1,1
"2025-06-12",2,1
"2025-06-22",3,1
"2025-06-23",20,1
"2025-07-12",10,2
"2025-07-15",8,1
"2025-07-17",1,1
"2025-07-18",6,1
"2025-07-19",14,1
"2025-07-21",13,1
"2025-07-24",40,1
"2025-07-26",22,1
"2025-07-27",9,1
"2025-07-28",3,1
"2025-08-04",2,1
"2025-08-06",8,1
"2025-08-19",6,1
"2025-08-20",17,1
"2025-08-21",9,1
"2025-08-25",10,1
"2025-09-07",12,2
"2025-09-10",10,1
"2025-09-11",8,1
"2025-09-15",16,1
"2025-09-18",2,1
"2025-09-28",8,1
"2025-10-06",9,1
"2025-12-02",18,1
"2025-12-05",12,1
"2025-12-07",2,1
"2025-12-19",0,0
"2025-12-20",0,0
"2025-12-21",0,0
"2025-12-22",0,0
"2025-12-23",0,0
"2025-12-24",0,0
"2025-12-25",0,0
"2025-12-26",0,0
"2025-12-27",0,0
"2025-12-28",1,1
"2025-12-29",0,0
"2025-12-30",0,0
"2025-12-31",0,0
"2026-01-01",7,1
"2026-01-02",8,1
"2026-01-03",0,0
"2026-01-04",0,0
"2026-01-05",0,0
"2026-01-06",0,0
"2026-01-07",0,0
"2026-01-08",0,0
"2026-01-09",6,1
"2026-01-10",0,0
"2026-01-11",0,0
"2026-01-12",0,0
"2026-01-13",0,0
"2026-01-14",0,0
"2026-01-15",0,0
"2026-01-16",0,0
"2026-01-17",0,0
"2026-01-18",0,0
"2026-01-19",0,0
"2026-01-20",0,0
"2026-01-21",0,0
"2026-01-22",1,1
"2026-01-23",0,0
"2026-01-24",0,0
"2026-01-25",0,0
"2026-01-26",0,0
"2026-01-27",0,0
"2026-01-28",0,0
"2026-01-29",0,0
"2026-01-30",0,0
"2026-01-31",0,0
