clone_timestamp,total_clones,unique_clones
"2025-05-18",92,37
"2025-05-19",72,20
"2025-05-20",38,13
"2025-05-21",39,13
"2025-05-22",53,19
"2025-05-23",122,45
"2025-05-24",57,27
"2025-05-25",28,16
"2025-05-28",5,4
"2025-05-31",1,1
"2025-06-07",2,2
"2025-06-14",1,1
"2025-06-16",1,1
"2025-06-21",2,2
"2025-06-22",27,10
"2025-06-24",1,1
"2025-06-27",1,1
"2025-06-30",1,1
"2025-07-01",1,1
"2025-07-03",1,1
"2025-07-05",2,2
"2025-07-06",1,1
"2025-07-09",10,6
"2025-07-10",1,1
"2025-07-11",2,2
"2025-07-12",1,1
"2025-07-14",1,1
"2025-07-15",1,1
"2025-07-19",1,1
"2025-07-24",1,1
"2025-07-25",1,1
"2025-07-26",1,1
"2025-08-01",1,1
"2025-08-02",1,1
"2025-08-08",12,7
"2025-08-09",6,5
"2025-08-10",8,5
"2025-08-11",6,3
"2025-08-12",9,4
"2025-08-13",11,6
"2025-08-14",7,6
"2025-08-15",13,5
"2025-08-16",12,7
"2025-08-17",8,5
"2025-08-18",50,20
"2025-08-19",7,5
"2025-08-20",4,3
"2025-08-21",9,3
"2025-08-22",41,18
"2025-08-23",8,5
"2025-08-25",13,6
"2025-08-26",12,5
"2025-08-27",5,4
"2025-08-28",50,23
"2025-08-29",29,13
"2025-08-30",13,8
"2025-08-31",5,4
"2025-09-01",4,3
"2025-09-02",25,12
"2025-09-04",6,3
"2025-09-05",1,1
"2025-09-06",1,1
"2025-09-07",1,1
"2025-09-09",13,5
"2025-09-10",7,4
"2025-09-11",7,4
"2025-09-12",5,4
"2025-09-13",1,1
"2025-09-14",6,5
"2025-09-15",27,14
"2025-09-16",47,21
"2025-09-17",90,37
"2025-09-18",10,5
"2025-09-19",13,6
"2025-09-20",13,4
"2025-09-21",16,9
"2025-09-22",13,8
"2025-09-23",12,8
"2025-09-24",11,6
"2025-09-25",9,5
"2025-09-26",20,9
"2025-09-27",10,5
"2025-09-28",12,4
"2025-09-29",10,5
"2025-09-30",13,5
"2025-10-01",43,20
"2025-10-02",39,14
"2025-10-03",50,22
"2025-10-04",89,39
"2025-10-05",292,73
"2025-10-06",91,27
"2025-10-07",4,3
"2025-10-08",2,2
"2025-10-09",10,7
"2025-10-10",37,15
"2025-10-11",83,7
"2025-10-12",127,2
"2025-10-14",5,3
"2025-10-15",10,5
"2025-10-16",6,3
"2025-10-17",19,9
"2025-10-18",92,31
"2025-10-19",30,13
"2025-10-20",54,18
"2025-10-21",146,40
"2025-10-22",13,8
"2025-10-23",23,14
"2025-10-24",35,18
"2025-10-25",79,27
"2025-10-26",257,72
"2025-10-27",168,51
"2025-10-28",86,32
"2025-10-29",153,50
"2025-10-30",126,39
"2025-10-31",34,20
"2025-11-01",34,19
"2025-11-02",97,40
"2025-11-03",18,10
"2025-11-04",37,8
"2025-11-05",43,20
"2025-11-06",12,7
"2025-11-07",70,21
"2025-11-08",40,15
"2025-11-09",46,14
"2025-11-10",8,2
"2025-11-11",25,7
"2025-11-12",43,8
"2025-11-13",16,2
"2025-11-14",15,2
"2025-11-15",3,1
"2025-11-16",1,1
"2025-11-18",1,1
"2025-11-23",6,5
"2025-11-24",1,1
"2025-11-25",1,1
"2025-11-28",2,1
"2025-11-30",7,6
"2025-12-01",69,29
"2025-12-02",14,8
"2025-12-03",90,47
"2025-12-04",6,4
"2025-12-05",7,6
"2025-12-06",14,10
"2025-12-07",18,12
"2025-12-08",7,5
"2025-12-09",5,4
"2025-12-12",7,5
"2025-12-13",5,4
"2025-12-14",8,6
"2025-12-15",5,4
"2025-12-16",1,1
"2025-12-17",1,1
"2025-12-18",1,1
"2025-12-19",2,2
"2025-12-20",0,0
"2025-12-21",12,8
"2025-12-22",7,5
"2025-12-23",0,0
"2025-12-24",8,5
"2025-12-25",12,6
"2025-12-26",26,14
"2025-12-27",0,0
"2025-12-28",11,8
"2025-12-29",18,9
"2025-12-30",16,11
"2025-12-31",4,3
"2026-01-01",238,86
"2026-01-02",11,7
"2026-01-03",24,15
"2026-01-04",0,0
"2026-01-05",1,1
"2026-01-06",0,0
"2026-01-07",3,3
"2026-01-08",0,0
"2026-01-09",0,0
"2026-01-10",0,0
"2026-01-11",124,57
"2026-01-14",0,0
"2026-01-15",0,0
"2026-01-16",0,0
"2026-01-17",5,4
"2026-01-19",0,0
"2026-01-20",2,2
"2026-01-22",0,0
"2026-01-23",0,0
"2026-01-24",0,0
"2026-01-25",0,0
"2026-01-26",0,0
"2026-01-27",2,2
"2026-01-28",0,0
"2026-01-29",0,0
"2026-01-30",10,8
"2026-01-31",107,48
"2026-02-01",33,22
"2026-02-02",9,7
"2026-02-03",9,6
"2026-02-05",10,7
"2026-02-06",4,3
"2026-02-07",27,16
"2026-02-08",14,10
"2026-02-10",10,8
"2026-02-11",4,3
"2026-02-12",1,1
"2026-02-13",9,6
"2026-02-14",6,3
"2026-02-16",3,2
"2026-02-17",2,1
"2026-02-18",2,1
"2026-02-19",10,7
