visitor_timestamp,total_visitors,unique_visitors
"2025-05-18",138,2
"2025-05-19",42,1
"2025-05-20",3,1
"2025-05-21",22,1
"2025-05-22",75,2
"2025-05-23",174,1
"2025-05-24",64,1
"2025-05-28",4,1
"2025-06-22",4,2
"2025-07-12",1,1
"2025-08-08",24,1
"2025-08-10",2,1
"2025-08-20",3,1
"2025-08-21",14,1
"2025-08-22",5,1
"2025-09-07",2,1
"2025-09-22",1,1
"2025-10-18",29,1
"2025-10-27",1,1
"2025-12-19",0,0
"2025-12-20",0,0
"2025-12-21",0,0
"2025-12-22",0,0
"2025-12-23",0,0
"2025-12-24",0,0
"2025-12-25",0,0
"2025-12-26",0,0
"2025-12-27",0,0
"2025-12-28",1,1
"2025-12-29",0,0
"2025-12-30",0,0
"2025-12-31",0,0
"2026-01-01",0,0
"2026-01-02",0,0
"2026-01-03",0,0
