clone_timestamp,total_clones,unique_clones
"2025-04-14",1,1
"2025-04-15",4,3
"2025-04-16",1,1
"2025-04-17",1,1
"2025-04-19",3,3
"2025-04-20",2,2
"2025-04-21",4,3
"2025-04-23",2,2
"2025-04-24",2,2
"2025-04-28",1,1
"2025-05-07",1,1
"2025-05-10",1,1
"2025-05-17",6,6
"2025-05-18",1,1
"2025-05-24",1,1
"2025-05-27",1,1
"2025-05-31",1,1
"2025-06-07",1,1
"2025-06-14",2,2
"2025-06-15",1,1
"2025-06-16",2,2
"2025-06-21",2,2
"2025-06-28",1,1
"2025-06-30",1,1
"2025-07-01",1,1
"2025-07-03",1,1
"2025-07-05",2,2
"2025-07-06",1,1
"2025-07-10",1,1
"2025-07-11",2,2
"2025-07-13",2,2
"2025-07-15",1,1
"2025-08-01",1,1
"2025-08-04",5,5
"2025-08-05",2,2
"2025-08-06",1,1
"2025-08-09",1,1
"2025-08-14",1,1
"2025-08-15",2,2
"2025-08-16",1,1
"2025-08-17",1,1
"2025-08-22",1,1
"2025-08-25",1,1
"2025-08-28",3,3
"2025-08-29",1,1
"2025-08-30",1,1
"2025-09-01",1,1
"2025-09-04",1,1
"2025-09-05",1,1
"2025-09-06",1,1
"2025-09-25",1,1
"2025-09-26",1,1
"2025-10-06",1,1
"2025-10-10",1,1
"2025-10-18",3,2
"2025-10-29",2,1
"2025-10-30",1,1
"2025-11-13",1,1
"2025-11-18",1,1
"2025-11-26",1,1
"2025-11-28",2,1
"2025-12-09",1,1
"2025-12-17",1,1
"2025-12-18",1,1
"2025-12-19",0,0
"2025-12-20",0,0
"2025-12-21",0,0
"2025-12-22",0,0
"2025-12-23",0,0
"2025-12-24",0,0
"2025-12-25",1,1
"2025-12-26",0,0
"2025-12-27",0,0
"2025-12-28",0,0
"2025-12-29",1,1
"2025-12-30",0,0
"2025-12-31",0,0
"2026-01-01",0,0
"2026-01-02",0,0
"2026-01-03",0,0
"2026-01-04",0,0
"2026-01-05",1,1
"2026-01-06",0,0
"2026-01-07",0,0
"2026-01-14",0,0
"2026-01-15",0,0
"2026-01-16",0,0
"2026-01-17",0,0
"2026-01-18",0,0
"2026-01-19",1,1
"2026-01-20",0,0
"2026-01-21",0,0
"2026-01-22",0,0
"2026-01-23",0,0
