visitor_timestamp,total_visitors,unique_visitors
"2025-07-05",14,2
"2025-07-06",1,1
"2025-07-12",2,1
"2025-07-14",1,1
"2025-07-15",6,1
"2025-07-16",14,3
"2025-07-18",3,1
"2025-07-19",7,2
"2025-07-21",10,1
"2025-08-04",48,2
"2025-08-18",1,1
"2025-08-30",1,1
"2025-09-06",1,1
"2025-11-02",1,1
"2025-12-19",0,0
"2025-12-20",0,0
"2025-12-21",0,0
"2025-12-22",0,0
"2025-12-23",0,0
"2025-12-24",0,0
"2025-12-25",0,0
"2025-12-26",0,0
"2025-12-27",0,0
"2025-12-28",0,0
"2025-12-29",0,0
"2025-12-30",0,0
"2025-12-31",0,0
"2026-01-01",0,0
"2026-01-03",0,0
"2026-01-04",0,0
"2026-01-05",0,0
"2026-01-06",0,0
"2026-01-09",0,0
"2026-01-12",0,0
"2026-01-19",0,0
"2026-01-22",0,0
"2026-01-23",0,0
"2026-01-24",0,0
"2026-01-25",0,0
"2026-01-26",0,0
"2026-01-27",0,0
"2026-01-28",0,0
"2026-01-29",0,0
"2026-01-30",0,0
"2026-01-31",0,0
"2026-02-01",0,0
"2026-02-02",0,0
"2026-02-03",0,0
"2026-02-07",0,0
"2026-02-09",0,0
"2026-02-12",0,0
"2026-02-17",0,0
"2026-02-18",0,0
"2026-02-19",0,0
