visitor_timestamp,total_visitors,unique_visitors
"2025-01-22",3,1
"2025-01-23",3,1
"2025-01-24",4,2
"2025-01-25",3,1
"2025-01-27",1,1
"2025-01-29",3,1
"2025-01-30",3,1
"2025-01-31",1,1
"2025-02-01",1,1
"2025-02-04",1,1
"2025-02-06",1,1
"2025-02-07",1,1
"2025-02-08",1,1
"2025-02-10",1,1
"2025-02-12",1,1
"2025-02-26",1,1
"2025-03-03",1,1
"2025-03-04",3,1
"2025-03-06",1,1
"2025-03-09",1,1
"2025-03-11",1,1
"2025-03-12",1,1
"2025-03-13",1,1
"2025-03-17",2,1
"2025-03-19",2,1
"2025-03-22",1,1
"2025-03-25",8,2
"2025-03-27",1,1
"2025-03-28",6,1
"2025-03-29",1,1
"2025-03-30",1,1
"2025-04-01",1,1
"2025-04-05",1,1
"2025-04-08",2,1
"2025-04-10",1,1
"2025-04-14",1,1
"2025-04-18",15,1
"2025-04-19",4,1
"2025-04-23",6,2
"2025-04-24",3,3
"2025-04-28",9,1
"2025-04-29",1,1
"2025-05-21",1,1
"2025-05-23",7,1
"2025-05-24",3,1
"2025-05-27",1,1
"2025-06-20",1,1
"2025-06-22",7,1
"2025-06-24",1,1
"2025-08-01",1,1
"2025-08-04",7,1
"2025-08-08",10,1
"2025-08-16",3,1
"2025-08-18",8,1
"2025-08-19",3,1
"2025-08-20",3,1
"2025-08-21",3,1
"2025-08-22",5,1
"2025-08-28",5,1
"2025-09-01",28,7
"2025-09-02",43,4
"2025-09-03",4,4
"2025-09-04",2,1
"2025-09-05",1,1
"2025-09-06",17,2
"2025-09-07",2,1
"2025-09-09",2,1
"2025-09-10",17,3
"2025-09-11",8,2
"2025-09-12",2,1
"2025-09-13",6,1
"2025-09-15",1,1
"2025-09-16",1,1
"2025-09-25",1,1
"2025-10-02",1,1
"2025-10-05",10,1
"2025-10-11",2,1
"2025-10-13",1,1
"2025-10-26",15,1
"2025-10-29",2,1
"2025-10-30",1,1
"2025-11-08",1,1
"2025-11-13",1,1
"2025-11-17",1,1
"2025-11-26",1,1
"2025-12-01",1,1
"2025-12-05",1,1
"2025-12-14",9,2
"2025-12-18",1,1
"2025-12-21",1,1
"2025-12-22",1,1
"2025-12-27",1,1
"2025-12-29",0,0
"2025-12-30",0,0
