clone_timestamp,total_clones,unique_clones
"2025-08-08",29,21
"2025-08-09",14,13
"2025-08-10",14,10
"2025-08-11",13,9
"2025-08-12",25,13
"2025-08-13",18,11
"2025-08-14",6,5
"2025-08-15",24,17
"2025-08-16",35,16
"2025-08-17",17,12
"2025-08-18",39,24
"2025-08-19",17,8
"2025-08-20",1,1
"2025-08-21",7,5
"2025-08-22",30,19
"2025-08-23",10,7
"2025-08-25",2,2
"2025-08-26",21,15
"2025-08-27",20,4
"2025-08-28",115,55
"2025-08-29",36,10
"2025-08-30",22,16
"2025-08-31",23,8
"2025-09-01",4,3
"2025-09-02",15,9
"2025-09-04",14,11
"2025-09-05",6,5
"2025-09-06",10,7
"2025-09-07",10,7
"2025-09-08",8,5
"2025-09-09",11,5
"2025-09-10",9,6
