clone_timestamp,total_clones,unique_clones
"2025-10-11",97,42
"2025-10-12",95,44
"2025-10-13",2,2
"2025-10-14",2,2
"2025-10-15",5,2
"2025-10-17",5,4
"2025-10-18",21,12
"2025-10-20",14,7
"2025-10-21",15,10
"2025-10-22",8,3
"2025-10-25",9,8
"2025-10-26",42,27
"2025-10-27",23,12
"2025-10-28",16,9
"2025-10-29",15,10
"2025-10-30",14,9
"2025-11-01",1,1
"2025-11-02",1,1
"2025-11-03",17,6
"2025-11-05",4,2
"2025-11-06",2,1
"2025-11-07",3,2
"2025-11-08",22,7
"2025-11-09",26,9
"2025-11-10",4,2
"2025-11-11",34,14
"2025-11-12",43,9
"2025-11-13",8,2
"2025-11-14",3,2
"2025-11-16",1,1
"2025-11-17",1,1
"2025-11-18",1,1
"2025-11-28",2,1
"2025-12-01",8,7
"2025-12-03",1,1
"2025-12-04",1,1
"2025-12-06",1,1
"2025-12-08",1,1
"2025-12-18",2,2
"2025-12-19",0,0
"2025-12-20",0,0
"2025-12-21",2,2
"2025-12-22",0,0
"2025-12-23",0,0
"2025-12-24",0,0
"2025-12-25",0,0
"2025-12-26",0,0
"2025-12-27",2,2
"2025-12-28",1,1
"2025-12-29",1,1
"2026-01-14",0,0
"2026-01-15",0,0
"2026-01-18",2,2
"2026-01-19",0,0
"2026-01-20",1,1
"2026-01-21",0,0
"2026-01-22",0,0
"2026-01-23",0,0
"2026-01-24",0,0
"2026-01-25",0,0
"2026-01-26",2,2
"2026-01-27",0,0
"2026-01-28",0,0
