clone_timestamp,total_clones,unique_clones
"2025-02-03",1,1
"2025-02-04",2,2
"2025-02-05",4,3
"2025-02-06",6,5
"2025-02-07",3,3
"2025-02-08",2,2
"2025-02-12",2,2
"2025-02-13",1,1
"2025-02-14",1,1
"2025-02-17",2,2
"2025-02-21",1,1
"2025-02-22",1,1
"2025-02-23",1,1
"2025-02-28",3,3
"2025-03-04",4,4
"2025-03-05",1,1
"2025-03-07",3,3
"2025-03-08",2,2
"2025-03-09",3,3
"2025-03-10",1,1
"2025-03-14",1,1
"2025-03-15",1,1
"2025-03-16",1,1
"2025-03-18",1,1
"2025-03-19",2,1
"2025-03-20",3,1
"2025-03-21",1,1
"2025-03-22",3,3
"2025-03-31",1,1
"2025-04-01",1,1
"2025-04-09",1,1
"2025-04-11",3,2
"2025-04-12",2,2
"2025-04-14",1,1
"2025-04-15",1,1
"2025-04-17",1,1
"2025-04-18",2,2
"2025-04-19",1,1
"2025-04-20",1,1
"2025-04-24",18,10
"2025-04-25",25,1
"2025-04-30",5,3
"2025-05-01",2,1
"2025-05-03",2,1
"2025-05-07",8,5
"2025-05-10",1,1
"2025-05-11",2,1
"2025-05-17",1,1
"2025-05-24",24,11
"2025-05-25",5,3
"2025-06-09",1,1
"2025-06-13",1,1
"2025-06-15",1,1
"2025-06-17",1,1
"2025-06-22",6,5
"2025-07-01",1,1
"2025-07-03",1,1
"2025-07-05",1,1
"2025-07-06",2,2
"2025-07-08",1,1
"2025-07-09",1,1
"2025-07-10",1,1
"2025-07-11",2,2
"2025-07-15",1,1
"2025-08-01",2,2
"2025-08-09",1,1
"2025-08-15",2,2
"2025-08-16",2,2
"2025-08-18",7,6
"2025-08-22",8,7
"2025-08-25",1,1
"2025-08-27",1,1
"2025-08-29",5,4
"2025-08-30",1,1
"2025-09-01",1,1
"2025-09-02",11,10
"2025-09-05",2,2
"2025-09-06",1,1
"2025-09-12",1,1
"2025-09-17",1,1
"2025-09-20",1,1
"2025-09-22",1,1
"2025-10-05",74,34
"2025-10-06",21,11
"2025-10-07",6,2
"2025-10-08",2,2
"2025-10-09",1,1
"2025-10-10",1,1
"2025-10-11",45,18
"2025-10-12",50,31
"2025-10-13",2,2
"2025-10-14",3,2
"2025-10-17",2,2
"2025-10-18",8,6
"2025-10-20",2,1
"2025-10-21",13,9
"2025-10-22",4,3
"2025-10-24",4,1
"2025-10-25",12,10
"2025-10-26",26,15
"2025-10-27",13,8
"2025-10-28",13,9
"2025-10-29",13,8
"2025-10-30",19,12
"2025-11-01",2,2
"2025-11-03",5,3
"2025-11-04",20,2
"2025-11-05",14,6
"2025-11-06",1,1
"2025-11-07",4,2
"2025-11-08",1,1
"2025-11-09",21,7
"2025-11-10",2,1
"2025-11-11",16,8
"2025-11-12",25,7
"2025-11-13",2,1
"2025-11-14",1,1
"2025-11-18",1,1
"2025-11-26",1,1
"2025-11-28",2,1
"2025-12-01",6,5
"2025-12-02",3,2
"2025-12-04",1,1
"2025-12-05",1,1
"2025-12-06",2,2
"2025-12-08",1,1
"2025-12-16",1,1
"2025-12-18",1,1
"2025-12-19",0,0
"2025-12-20",1,1
"2025-12-21",0,0
"2025-12-22",0,0
"2025-12-23",0,0
"2025-12-24",0,0
"2025-12-25",0,0
"2025-12-26",0,0
"2025-12-27",0,0
"2025-12-28",0,0
"2025-12-29",1,1
"2025-12-30",1,1
"2025-12-31",2,1
"2026-01-01",34,22
"2026-01-02",3,2
"2026-01-03",2,2
"2026-01-04",0,0
"2026-01-05",1,1
"2026-01-06",0,0
"2026-01-07",0,0
"2026-01-08",0,0
"2026-01-09",0,0
"2026-01-10",0,0
"2026-01-11",14,11
"2026-01-12",1,1
"2026-01-13",1,1
"2026-01-14",0,0
"2026-01-15",0,0
"2026-01-16",0,0
"2026-01-17",0,0
"2026-01-18",1,1
"2026-01-19",0,0
"2026-01-20",1,1
"2026-01-21",0,0
"2026-01-22",0,0
"2026-01-23",0,0
"2026-01-24",1,1
