clone_timestamp,total_clones,unique_clones
"2025-01-08",2,1
"2025-01-09",3,2
"2025-01-10",2,1
"2025-01-11",2,1
"2025-01-12",2,1
"2025-01-13",2,1
"2025-01-14",2,1
"2025-01-15",2,1
"2025-01-16",2,1
"2025-01-17",2,1
"2025-01-18",1,1
"2025-01-19",1,1
"2025-01-22",2,2
"2025-01-28",1,1
"2025-01-29",2,2
"2025-02-01",2,2
"2025-02-02",2,2
"2025-02-03",1,1
"2025-02-05",2,2
"2025-02-08",7,5
"2025-02-12",4,3
"2025-02-13",1,1
"2025-02-15",1,1
"2025-02-22",2,2
"2025-02-24",1,1
"2025-02-26",1,1
"2025-02-28",6,5
"2025-03-01",1,1
"2025-03-02",1,1
"2025-03-04",4,4
"2025-03-05",1,1
"2025-03-06",1,1
"2025-03-08",1,1
"2025-03-10",1,1
"2025-03-12",1,1
"2025-03-15",4,4
"2025-03-16",3,1
"2025-03-18",1,1
"2025-03-19",1,1
"2025-03-20",3,2
"2025-03-21",1,1
"2025-03-22",1,1
"2025-04-03",2,1
"2025-04-06",2,2
"2025-04-11",1,1
"2025-04-12",1,1
"2025-04-17",1,1
"2025-04-18",11,8
"2025-04-20",1,1
"2025-04-21",1,1
"2025-04-25",4,2
"2025-04-26",21,1
"2025-04-29",2,1
"2025-05-07",1,1
"2025-05-08",1,1
"2025-05-11",1,1
"2025-05-18",1,1
"2025-05-25",1,1
"2025-06-12",1,1
