clone_timestamp,total_clones,unique_clones
"2025-09-28",20,15
"2025-09-29",37,26
"2025-09-30",22,16
"2025-10-01",50,33
"2025-10-02",5,2
"2025-10-03",15,11
"2025-10-04",52,29
"2025-10-05",71,29
"2025-10-06",19,9
"2025-10-08",1,1
"2025-10-09",1,1
"2025-10-10",1,1
"2025-10-11",51,24
"2025-10-12",48,30
"2025-10-13",2,2
"2025-10-14",7,4
"2025-10-18",12,7
"2025-10-20",4,2
"2025-10-21",15,10
"2025-10-22",6,4
"2025-10-23",2,1
"2025-10-24",6,2
"2025-10-25",8,7
"2025-10-26",44,25
"2025-10-27",25,13
"2025-10-28",48,20
"2025-10-29",30,15
"2025-10-30",28,17
"2025-10-31",13,4
"2025-11-01",29,10
"2025-11-03",14,4
"2025-11-04",10,1
"2025-11-05",15,6
"2025-11-07",11,4
"2025-11-08",3,2
"2025-11-09",12,5
"2025-11-10",2,1
"2025-11-11",27,14
"2025-11-12",16,5
"2025-11-13",6,2
"2025-11-14",2,1
"2025-11-15",1,1
"2025-11-18",1,1
"2025-11-28",2,1
"2025-11-29",1,1
"2025-12-01",8,7
"2025-12-02",7,3
"2025-12-03",10,4
"2025-12-04",1,1
"2025-12-06",2,2
"2025-12-08",1,1
"2025-12-14",1,1
"2025-12-18",2,2
"2025-12-19",0,0
"2025-12-20",0,0
"2025-12-21",1,1
"2025-12-22",0,0
"2025-12-23",0,0
"2025-12-24",0,0
"2025-12-25",0,0
"2025-12-26",1,1
"2025-12-27",0,0
"2025-12-28",0,0
"2025-12-29",4,3
"2025-12-30",2,2
"2025-12-31",0,0
"2026-01-01",35,22
"2026-01-02",3,2
"2026-01-03",1,1
"2026-01-04",0,0
"2026-01-05",0,0
"2026-01-06",0,0
"2026-01-14",0,0
"2026-01-16",0,0
"2026-01-17",0,0
"2026-01-22",1,1
"2026-01-23",0,0
"2026-01-24",0,0
"2026-01-25",1,1
"2026-01-26",1,1
"2026-01-27",1,1
"2026-01-28",0,0
"2026-01-29",0,0
"2026-01-30",0,0
"2026-01-31",13,10
"2026-02-01",3,3
"2026-02-02",0,0
"2026-02-03",0,0
"2026-02-04",1,1
"2026-02-05",0,0
"2026-02-06",0,0
"2026-02-12",0,0
"2026-02-13",0,0
"2026-02-16",0,0
"2026-02-17",0,0
"2026-02-18",0,0
"2026-02-19",0,0
"2026-02-20",0,0
"2026-02-22",1,1
"2026-02-23",0,0
"2026-02-24",0,0
