clone_timestamp,total_clones,unique_clones
"2025-03-12",1,1
"2025-03-13",1,1
"2025-03-14",2,2
"2025-03-15",1,1
"2025-03-16",3,3
"2025-03-18",3,3
"2025-03-19",3,3
"2025-03-20",4,3
"2025-03-21",2,2
"2025-03-22",1,1
"2025-03-31",1,1
"2025-04-01",1,1
"2025-04-02",5,3
"2025-04-03",3,3
"2025-04-05",1,1
"2025-04-09",1,1
"2025-04-11",1,1
"2025-04-12",1,1
"2025-04-14",1,1
"2025-04-16",1,1
"2025-04-18",16,11
"2025-04-20",1,1
"2025-04-25",9,6
"2025-05-07",3,3
"2025-05-10",1,1
"2025-05-11",2,1
"2025-05-17",1,1
"2025-05-24",15,8
"2025-05-25",7,4
"2025-06-11",1,1
"2025-06-12",1,1
"2025-06-13",1,1
"2025-06-22",6,5
"2025-06-25",1,1
"2025-06-30",1,1
"2025-07-01",1,1
"2025-07-03",1,1
"2025-07-05",1,1
"2025-07-06",2,2
"2025-07-08",1,1
"2025-07-09",1,1
"2025-07-10",1,1
"2025-07-11",2,2
"2025-07-15",1,1
"2025-07-30",1,1
"2025-08-01",1,1
"2025-08-09",1,1
"2025-08-15",2,2
"2025-08-16",2,2
"2025-08-18",8,7
"2025-08-22",6,5
"2025-08-23",1,1
"2025-08-25",1,1
"2025-08-29",5,4
"2025-08-30",1,1
"2025-09-01",1,1
"2025-09-02",2,2
"2025-09-05",1,1
"2025-09-07",1,1
"2025-09-16",1,1
"2025-09-24",1,1
"2025-10-03",1,1
"2025-10-05",75,35
"2025-10-06",27,7
"2025-10-07",3,2
"2025-10-08",2,2
"2025-10-09",1,1
"2025-10-10",1,1
"2025-10-11",55,29
"2025-10-12",46,26
"2025-10-13",2,2
"2025-10-14",5,3
"2025-10-18",12,7
"2025-10-21",15,11
"2025-10-22",4,3
"2025-10-25",10,9
"2025-10-26",30,18
"2025-10-27",16,11
"2025-10-28",27,14
"2025-10-29",16,11
"2025-10-30",30,14
"2025-10-31",2,1
"2025-11-01",5,3
"2025-11-02",1,1
"2025-11-03",5,3
"2025-11-04",14,1
"2025-11-05",13,5
"2025-11-06",3,2
"2025-11-08",4,2
"2025-11-09",20,7
"2025-11-11",15,8
"2025-11-12",16,3
"2025-11-13",4,2
"2025-11-14",3,1
"2025-11-18",1,1
"2025-11-26",1,1
"2025-11-28",1,1
"2025-12-01",10,8
"2025-12-02",4,2
"2025-12-03",2,1
"2025-12-04",1,1
"2025-12-06",2,2
"2025-12-08",1,1
"2025-12-18",1,1
