visitor_timestamp,total_visitors,unique_visitors
"2025-03-12",5,2
"2025-03-13",1,1
"2025-03-17",1,1
"2025-03-19",3,1
"2025-03-21",4,2
"2025-03-22",1,1
"2025-03-27",1,1
"2025-04-01",1,1
"2025-04-14",1,1
"2025-04-18",3,1
"2025-04-25",9,1
"2025-05-24",10,1
"2025-05-27",1,1
"2025-06-22",10,1
"2025-08-08",6,1
"2025-08-18",3,1
"2025-08-21",3,1
"2025-08-22",4,1
"2025-09-02",1,1
"2025-10-05",17,1
"2025-10-26",12,1
"2025-12-01",3,1
"2025-12-19",0,0
"2025-12-20",0,0
"2025-12-21",0,0
"2025-12-22",0,0
"2025-12-23",0,0
"2025-12-24",0,0
"2025-12-25",0,0
"2025-12-26",0,0
"2025-12-27",0,0
"2025-12-28",0,0
"2025-12-29",0,0
"2025-12-30",0,0
"2025-12-31",0,0
"2026-01-01",0,0
"2026-01-02",0,0
"2026-01-03",0,0
"2026-01-04",0,0
"2026-01-05",0,0
"2026-01-06",0,0
"2026-01-07",0,0
"2026-01-14",0,0
