visitor_timestamp,total_visitors,unique_visitors
"2025-01-18",28,2
"2025-01-19",1,1
"2025-01-20",1,1
"2025-01-22",1,1
"2025-01-24",6,2
"2025-01-25",1,1
"2025-01-27",1,1
"2025-01-29",1,1
"2025-01-30",3,1
"2025-01-31",1,1
"2025-02-01",1,1
"2025-02-04",1,1
"2025-02-05",1,1
"2025-02-07",1,1
"2025-02-08",1,1
"2025-02-10",1,1
"2025-02-12",1,1
"2025-02-25",2,1
"2025-02-26",1,1
"2025-02-28",1,1
"2025-03-04",3,1
"2025-03-06",1,1
"2025-03-09",1,1
"2025-03-12",1,1
"2025-03-13",1,1
"2025-03-17",1,1
"2025-03-19",2,2
"2025-03-22",1,1
"2025-03-25",2,2
"2025-03-27",1,1
"2025-04-01",1,1
"2025-04-04",1,1
"2025-04-05",1,1
"2025-04-10",1,1
"2025-04-14",2,1
"2025-04-17",2,1
"2025-04-18",7,1
"2025-04-19",4,1
"2025-04-20",230,2
"2025-04-21",155,1
"2025-04-22",1,1
"2025-04-24",14,1
"2025-04-28",7,1
"2025-05-22",16,1
"2025-05-23",138,1
"2025-05-24",17,1
"2025-05-27",1,1
"2025-06-09",7,1
"2025-06-12",1,1
"2025-06-22",8,1
"2025-07-29",1,1
"2025-08-08",10,1
"2025-08-18",20,1
"2025-08-21",8,1
"2025-08-26",1,1
"2025-08-28",4,1
"2025-08-31",1,1
"2025-09-01",48,9
"2025-09-02",34,5
"2025-09-03",2,2
"2025-09-05",1,1
"2025-09-06",19,2
"2025-09-09",2,1
"2025-09-10",2,1
"2025-09-11",10,2
"2025-09-12",2,1
"2025-09-13",10,1
"2025-09-15",1,1
"2025-09-16",1,1
"2025-09-23",2,2
"2025-10-05",27,1
"2025-10-11",3,1
"2025-10-13",1,1
"2025-10-26",5,1
"2025-11-13",1,1
"2025-12-01",3,1
"2025-12-19",0,0
"2025-12-20",0,0
"2025-12-21",0,0
"2025-12-22",0,0
"2025-12-23",0,0
"2025-12-24",0,0
"2025-12-25",0,0
"2025-12-26",0,0
"2025-12-27",0,0
"2025-12-28",1,1
"2025-12-29",0,0
"2025-12-30",0,0
"2025-12-31",0,0
"2026-01-01",0,0
"2026-01-02",0,0
"2026-01-03",0,0
"2026-01-04",0,0
"2026-01-05",0,0
"2026-01-06",0,0
"2026-01-07",0,0
"2026-01-09",0,0
"2026-01-10",0,0
"2026-01-17",0,0
"2026-01-22",1,1
"2026-01-23",0,0
"2026-01-24",0,0
"2026-01-25",0,0
"2026-01-26",0,0
"2026-01-27",0,0
"2026-01-28",0,0
"2026-01-29",0,0
