clone_timestamp,total_clones,unique_clones
"2025-03-11",1,1
"2025-03-12",4,3
"2025-03-13",1,1
"2025-03-15",1,1
"2025-03-16",13,9
"2025-03-17",6,5
"2025-03-18",4,4
"2025-03-19",7,5
"2025-03-20",2,1
"2025-03-21",1,1
"2025-03-22",1,1
"2025-03-29",1,1
"2025-03-31",1,1
"2025-04-01",1,1
"2025-04-14",1,1
"2025-04-16",1,1
"2025-04-17",1,1
"2025-04-18",19,15
"2025-04-19",1,1
"2025-04-25",6,3
"2025-04-26",11,1
"2025-05-07",5,4
"2025-05-10",1,1
"2025-05-11",2,1
"2025-05-12",1,1
"2025-05-22",19,10
"2025-05-23",9,6
"2025-05-24",5,3
"2025-05-25",10,5
"2025-05-26",1,1
"2025-06-01",1,1
"2025-06-07",3,3
"2025-06-15",1,1
"2025-06-16",1,1
"2025-06-22",6,5
"2025-06-23",1,1
"2025-07-01",1,1
"2025-07-03",1,1
"2025-07-05",1,1
"2025-07-06",1,1
"2025-07-10",1,1
"2025-07-11",2,2
"2025-07-15",1,1
"2025-07-30",1,1
"2025-08-01",1,1
"2025-08-09",1,1
"2025-08-15",2,2
"2025-08-17",2,2
"2025-08-18",10,9
"2025-08-22",7,6
"2025-08-24",1,1
"2025-08-25",1,1
"2025-08-29",7,6
"2025-08-30",2,2
"2025-09-01",2,2
"2025-09-02",1,1
"2025-09-05",1,1
"2025-09-17",1,1
"2025-09-18",1,1
"2025-09-28",1,1
"2025-09-29",1,1
"2025-10-05",71,34
"2025-10-06",18,8
"2025-10-07",3,2
"2025-10-08",2,2
"2025-10-09",2,2
"2025-10-11",56,30
"2025-10-12",47,29
"2025-10-13",2,2
"2025-10-14",7,4
"2025-10-18",9,7
"2025-10-20",4,2
"2025-10-21",15,11
"2025-10-22",4,3
"2025-10-24",4,1
"2025-10-25",9,8
"2025-10-26",24,16
"2025-10-27",15,10
"2025-10-28",8,6
"2025-10-29",18,13
"2025-10-30",22,12
"2025-10-31",6,3
"2025-11-01",1,1
"2025-11-02",2,2
"2025-11-03",1,1
"2025-11-04",20,4
"2025-11-05",18,7
"2025-11-06",5,3
"2025-11-07",7,2
"2025-11-08",8,4
"2025-11-09",19,5
"2025-11-10",2,1
"2025-11-11",8,3
"2025-11-12",22,6
"2025-11-13",5,2
"2025-11-14",4,1
"2025-11-16",1,1
"2025-11-18",1,1
"2025-11-23",2,2
"2025-11-28",1,1
"2025-12-01",11,9
"2025-12-02",2,1
"2025-12-03",4,2
"2025-12-04",1,1
"2025-12-05",2,2
"2025-12-06",2,2
"2025-12-07",1,1
"2025-12-08",1,1
"2025-12-18",1,1
"2025-12-19",0,0
"2025-12-20",0,0
"2025-12-21",1,1
"2025-12-22",0,0
"2025-12-23",0,0
"2025-12-24",2,2
"2025-12-25",0,0
"2025-12-26",1,1
"2025-12-27",0,0
"2025-12-28",0,0
"2025-12-29",1,1
"2025-12-30",1,1
"2025-12-31",2,1
"2026-01-01",33,23
"2026-01-02",1,1
"2026-01-03",1,1
"2026-01-04",1,1
"2026-01-05",0,0
"2026-01-06",0,0
"2026-01-07",0,0
"2026-01-08",0,0
"2026-01-16",0,0
"2026-01-17",0,0
"2026-01-18",0,0
"2026-01-19",0,0
"2026-01-20",1,1
"2026-01-21",1,1
"2026-01-22",0,0
"2026-01-23",0,0
"2026-01-24",0,0
"2026-01-25",0,0
"2026-01-26",1,1
"2026-01-27",0,0
"2026-01-28",2,2
