visitor_timestamp,total_visitors,unique_visitors
"2025-09-16",29,2
"2025-09-17",92,1
"2025-09-18",4,1
"2025-09-19",6,1
"2025-09-21",1,1
"2025-09-22",1,1
"2025-09-26",7,1
"2025-09-27",2,1
"2025-10-01",2,1
"2025-10-02",22,3
"2025-10-04",3,1
"2025-10-05",9,1
"2025-10-07",3,3
"2025-10-09",1,1
"2025-10-10",5,1
"2025-10-12",20,1
"2025-10-13",29,7
"2025-10-14",1,1
"2025-10-19",1,1
"2025-10-20",41,1
"2025-10-21",110,3
"2025-10-22",15,1
"2025-10-23",5,1
"2025-10-24",5,1
"2025-10-25",66,1
"2025-10-26",181,2
"2025-10-27",116,1
"2025-10-28",38,5
"2025-10-29",50,5
"2025-10-30",46,2
"2025-10-31",18,1
"2025-11-01",19,1
"2025-11-02",104,1
"2025-11-03",14,4
"2025-11-04",12,1
"2025-11-06",2,2
"2025-11-10",1,1
"2025-11-24",1,1
"2025-12-19",0,0
"2025-12-20",0,0
"2025-12-21",0,0
"2025-12-22",0,0
"2025-12-23",0,0
"2025-12-24",0,0
"2025-12-25",0,0
"2025-12-26",0,0
"2025-12-27",0,0
"2025-12-28",1,1
"2025-12-29",0,0
"2025-12-30",0,0
"2025-12-31",0,0
"2026-01-01",0,0
"2026-01-02",0,0
"2026-01-03",0,0
"2026-01-04",0,0
"2026-01-05",0,0
"2026-01-06",0,0
"2026-01-07",0,0
"2026-01-08",0,0
"2026-01-09",0,0
"2026-01-10",0,0
"2026-01-11",0,0
"2026-01-12",0,0
"2026-01-14",0,0
"2026-01-15",0,0
"2026-01-16",0,0
"2026-01-17",0,0
"2026-01-19",0,0
"2026-01-20",0,0
"2026-01-21",0,0
