clone_timestamp,total_clones,unique_clones
"2025-01-29",1,1
"2025-01-30",2,2
"2025-01-31",6,4
"2025-02-01",4,3
"2025-02-02",4,3
"2025-02-03",1,1
"2025-02-05",4,3
"2025-02-06",5,4
"2025-02-07",3,2
"2025-02-08",8,6
"2025-02-11",2,2
"2025-02-12",3,2
"2025-02-22",1,1
"2025-02-23",1,1
"2025-02-27",1,1
"2025-02-28",2,2
"2025-03-01",1,1
"2025-03-02",1,1
"2025-03-03",1,1
"2025-03-05",1,1
"2025-03-06",3,2
"2025-03-07",2,2
"2025-03-08",3,2
"2025-03-09",1,1
"2025-03-10",7,5
"2025-03-14",3,2
"2025-03-15",1,1
"2025-03-16",5,3
"2025-03-18",1,1
"2025-03-19",1,1
"2025-03-20",1,1
"2025-03-21",1,1
"2025-03-22",1,1
"2025-03-24",1,1
"2025-03-29",1,1
"2025-04-02",1,1
"2025-04-03",1,1
"2025-04-04",1,1
"2025-04-05",1,1
"2025-04-11",1,1
"2025-04-13",1,1
"2025-04-14",4,2
"2025-04-15",1,1
"2025-04-19",1,1
"2025-04-22",3,2
"2025-04-24",53,18
"2025-04-25",48,1
"2025-04-30",3,3
"2025-05-01",6,4
"2025-05-02",3,2
"2025-05-03",2,1
"2025-05-04",10,5
"2025-05-06",6,4
"2025-05-07",4,3
"2025-05-08",3,2
"2025-05-09",2,2
"2025-05-10",1,1
"2025-05-17",1,1
"2025-05-24",21,9
"2025-05-25",10,5
"2025-06-01",1,1
"2025-06-07",1,1
"2025-06-11",1,1
"2025-06-14",2,2
"2025-06-15",1,1
"2025-06-16",1,1
"2025-06-22",2,1
"2025-06-24",1,1
"2025-07-01",1,1
"2025-07-03",1,1
"2025-07-05",1,1
"2025-07-06",1,1
"2025-07-10",1,1
"2025-07-11",2,2
