visitor_timestamp,total_visitors,unique_visitors
"2025-01-29",10,2
"2025-01-30",1,1
"2025-01-31",4,2
"2025-02-01",2,1
"2025-02-03",1,1
"2025-02-04",1,1
"2025-02-07",1,1
"2025-02-08",1,1
"2025-02-10",1,1
"2025-02-12",1,1
"2025-02-28",1,1
"2025-03-04",1,1
"2025-03-06",1,1
"2025-03-08",3,1
"2025-03-09",1,1
"2025-03-11",2,1
"2025-03-12",1,1
"2025-03-13",1,1
"2025-03-16",2,1
"2025-03-17",1,1
"2025-03-18",1,1
"2025-03-19",2,2
"2025-03-20",4,1
"2025-03-21",1,1
"2025-03-25",10,1
"2025-03-27",1,1
"2025-03-28",1,1
"2025-04-01",1,1
"2025-04-05",2,1
"2025-04-08",5,1
"2025-04-14",1,1
"2025-04-15",2,1
"2025-04-18",2,1
"2025-04-23",3,1
"2025-04-24",120,3
"2025-05-24",7,1
"2025-05-27",1,1
"2025-06-12",2,1
"2025-06-20",9,1
"2025-06-22",8,1
"2025-08-08",6,1
"2025-08-18",8,1
"2025-08-21",3,1
"2025-08-22",7,1
"2025-08-27",9,1
"2025-08-28",4,1
"2025-08-29",4,1
"2025-09-16",1,1
"2025-10-05",23,1
"2025-10-07",7,1
"2025-10-12",19,1
"2025-10-13",14,1
"2025-10-26",34,3
"2025-10-29",4,1
"2025-10-30",5,1
"2025-11-07",131,1
"2025-11-08",78,2
"2025-11-09",35,1
"2025-12-01",2,1
"2025-12-19",0,0
"2025-12-20",0,0
"2025-12-21",0,0
"2025-12-22",0,0
"2025-12-23",0,0
"2025-12-24",0,0
"2025-12-25",0,0
"2025-12-26",0,0
"2025-12-27",0,0
"2025-12-28",0,0
"2025-12-29",0,0
"2026-01-05",0,0
"2026-01-06",0,0
"2026-01-07",0,0
"2026-01-08",0,0
"2026-01-09",0,0
"2026-01-10",0,0
"2026-01-11",0,0
"2026-01-12",0,0
"2026-01-13",0,0
"2026-01-14",0,0
