clone_timestamp,total_clones,unique_clones
"2025-08-06",7,7
"2025-08-07",9,9
"2025-08-08",6,6
"2025-08-09",6,6
"2025-08-10",1,1
"2025-08-12",2,1
"2025-08-15",1,1
"2025-08-18",1,1
"2025-08-27",1,1
"2025-09-02",1,1
"2025-09-06",1,1
"2025-09-14",1,1
"2025-09-30",1,1
"2025-10-05",1,1
"2025-10-18",3,2
"2025-10-28",1,1
"2025-10-29",2,2
"2025-11-18",2,2
"2025-11-28",1,1
"2025-11-29",1,1
"2025-12-04",1,1
"2025-12-05",1,1
"2025-12-18",2,2
"2025-12-19",0,0
"2025-12-20",1,1
"2025-12-21",0,0
"2025-12-22",0,0
"2025-12-23",0,0
"2025-12-24",0,0
"2025-12-25",0,0
"2025-12-26",0,0
"2025-12-27",0,0
"2025-12-28",0,0
"2025-12-29",1,1
"2026-01-15",0,0
"2026-01-16",2,2
"2026-01-17",1,1
"2026-01-19",0,0
"2026-01-20",0,0
"2026-01-22",0,0
"2026-01-23",1,1
"2026-01-24",0,0
"2026-01-25",0,0
"2026-01-26",0,0
"2026-01-27",0,0
"2026-01-28",0,0
"2026-01-29",0,0
"2026-01-30",0,0
"2026-01-31",0,0
"2026-02-01",0,0
"2026-02-02",0,0
