clone_timestamp,total_clones,unique_clones
"2026-01-10",0,0
"2026-01-11",0,0
"2026-01-12",1,1
"2026-01-13",2,2
"2026-01-14",1,1
"2026-01-15",0,0
"2026-01-16",1,1
"2026-01-17",0,0
"2026-01-18",46,25
"2026-01-19",3,3
"2026-01-20",1,1
"2026-01-21",1,1
"2026-01-22",0,0
"2026-01-23",0,0
"2026-01-24",0,0
"2026-01-25",1,1
"2026-01-26",1,1
"2026-01-27",2,2
"2026-01-28",0,0
"2026-01-29",1,1
"2026-01-30",0,0
"2026-01-31",21,16
"2026-02-01",5,5
"2026-02-02",0,0
"2026-02-03",0,0
"2026-02-04",1,1
"2026-02-05",1,1
"2026-02-06",0,0
"2026-02-13",0,0
"2026-02-17",0,0
"2026-02-18",0,0
"2026-02-19",0,0
"2026-02-20",0,0
