clone_timestamp,total_clones,unique_clones
"2025-12-19",0,0
"2025-12-20",0,0
"2025-12-21",0,0
"2025-12-22",0,0
"2025-12-23",0,0
"2025-12-24",0,0
"2025-12-25",0,0
"2025-12-26",0,0
"2025-12-27",0,0
"2025-12-28",0,0
"2025-12-29",0,0
"2025-12-30",0,0
"2025-12-31",0,0
"2026-01-01",107,74
"2026-01-02",3,3
"2026-01-03",28,16
"2026-01-04",2,2
"2026-01-05",1,1
"2026-01-06",0,0
"2026-01-07",0,0
"2026-01-14",0,0
"2026-01-15",0,0
"2026-01-16",0,0
"2026-01-19",0,0
"2026-01-20",0,0
"2026-01-21",0,0
"2026-01-22",0,0
"2026-01-23",0,0
"2026-01-24",0,0
"2026-01-25",0,0
"2026-01-26",2,2
"2026-01-27",0,0
"2026-01-28",0,0
"2026-01-29",0,0
"2026-01-30",0,0
"2026-01-31",16,12
"2026-02-01",1,1
"2026-02-02",0,0
"2026-02-03",0,0
"2026-02-05",0,0
"2026-02-06",0,0
