clone_timestamp,total_clones,unique_clones
"2025-06-07",42,35
"2025-06-08",24,18
"2025-06-09",74,45
"2025-06-10",36,22
"2025-06-11",60,41
"2025-06-12",38,24
"2025-06-13",86,55
"2025-06-14",52,44
"2025-06-15",47,31
"2025-06-16",7,6
"2025-06-17",136,80
"2025-06-18",40,30
"2025-06-19",17,15
"2025-06-20",31,23
"2025-06-21",12,8
"2025-06-22",24,17
"2025-06-23",33,26
"2025-06-24",15,13
"2025-06-25",8,7
"2025-06-26",4,4
"2025-06-27",24,19
"2025-06-28",64,43
"2025-06-29",56,35
"2025-06-30",17,15
"2025-07-01",10,7
"2025-07-02",20,18
"2025-07-03",9,7
"2025-07-04",25,24
"2025-07-05",16,15
"2025-07-06",25,20
"2025-07-07",6,5
"2025-07-08",1,1
"2025-07-10",9,8
"2025-07-11",3,3
"2025-07-12",2,2
"2025-07-14",27,20
"2025-07-15",2,2
"2025-07-17",8,6
"2025-07-18",8,7
"2025-07-19",15,13
"2025-07-23",7,6
"2025-07-24",13,12
"2025-07-25",12,10
"2025-07-26",5,5
"2025-07-27",2,2
"2025-07-28",8,7
"2025-07-29",3,3
"2025-08-01",1,1
"2025-08-02",1,1
"2025-08-06",1,1
"2025-08-14",1,1
"2025-08-15",1,1
"2025-08-17",3,3
"2025-09-01",1,1
"2025-09-05",2,2
"2025-09-12",1,1
"2025-09-18",1,1
"2025-09-25",1,1
"2025-10-04",1,1
"2025-10-18",3,2
"2025-10-29",1,1
"2025-11-05",1,1
"2025-11-10",1,1
"2025-11-18",1,1
"2025-11-26",1,1
"2025-11-28",1,1
"2025-12-09",1,1
"2025-12-16",1,1
"2025-12-17",1,1
"2025-12-18",1,1
"2025-12-19",1,1
"2025-12-20",1,1
"2025-12-21",0,0
"2025-12-22",0,0
"2025-12-23",1,1
"2025-12-24",0,0
"2025-12-25",0,0
"2025-12-26",0,0
"2025-12-27",0,0
"2025-12-28",0,0
"2025-12-29",1,1
"2025-12-30",0,0
"2025-12-31",0,0
"2026-01-01",0,0
"2026-01-04",1,1
"2026-01-05",0,0
"2026-01-06",0,0
"2026-01-11",0,0
"2026-01-12",0,0
"2026-01-13",0,0
"2026-01-14",0,0
"2026-01-15",1,1
"2026-01-16",0,0
"2026-01-17",0,0
"2026-01-18",0,0
"2026-01-19",0,0
"2026-01-20",0,0
