visitor_timestamp,total_visitors,unique_visitors
"2025-06-07",12,3
"2025-06-09",91,2
"2025-06-10",42,2
"2025-06-11",46,1
"2025-06-12",33,2
"2025-06-13",141,1
"2025-06-14",25,1
"2025-06-15",67,1
"2025-06-17",94,1
"2025-06-18",42,2
"2025-06-20",32,2
"2025-06-21",3,1
"2025-06-22",9,1
"2025-06-23",21,1
"2025-06-27",13,1
"2025-06-28",49,1
"2025-06-29",83,1
"2025-06-30",5,2
"2025-07-01",9,1
"2025-07-02",4,1
"2025-07-11",3,2
"2025-07-12",5,2
"2025-07-14",48,1
"2025-07-16",3,3
"2025-07-19",4,2
"2025-07-30",2,1
"2025-08-01",2,1
"2025-08-02",33,2
"2025-08-18",1,1
"2025-09-06",1,1
"2025-10-06",1,1
"2025-10-07",1,1
"2025-12-19",0,0
"2025-12-20",0,0
"2025-12-21",0,0
"2025-12-22",0,0
"2025-12-23",0,0
"2025-12-24",0,0
"2025-12-25",0,0
"2025-12-26",0,0
"2025-12-27",0,0
"2025-12-28",0,0
"2025-12-29",0,0
"2025-12-30",0,0
"2025-12-31",0,0
"2026-01-01",0,0
"2026-01-04",0,0
"2026-01-05",0,0
"2026-01-06",0,0
"2026-01-11",0,0
"2026-01-12",0,0
"2026-01-13",0,0
"2026-01-14",0,0
"2026-01-15",0,0
"2026-01-16",0,0
"2026-01-17",0,0
"2026-01-18",0,0
"2026-01-19",0,0
"2026-01-20",0,0
"2026-01-21",0,0
"2026-01-22",0,0
"2026-01-23",0,0
"2026-01-24",0,0
"2026-01-25",0,0
"2026-01-26",0,0
