clone_timestamp,total_clones,unique_clones
"2025-06-04",23,20
"2025-06-05",7,6
"2025-06-06",1,1
"2025-06-07",1,1
"2025-06-08",7,6
"2025-06-09",3,3
"2025-06-12",1,1
"2025-06-15",1,1
"2025-06-16",1,1
"2025-06-21",1,1
"2025-07-01",1,1
"2025-07-03",1,1
"2025-07-05",1,1
"2025-07-06",1,1
"2025-07-10",2,2
"2025-07-11",2,2
"2025-07-15",1,1
"2025-07-24",1,1
"2025-08-01",1,1
"2025-08-10",1,1
"2025-08-13",1,1
"2025-08-15",2,2
"2025-09-01",1,1
"2025-09-05",1,1
"2025-09-09",1,1
"2025-09-18",1,1
"2025-09-24",1,1
"2025-10-18",3,2
"2025-10-29",1,1
"2025-10-31",1,1
"2025-11-10",1,1
"2025-11-18",1,1
"2025-11-27",1,1
"2025-11-28",1,1
"2025-12-16",1,1
"2025-12-17",1,1
"2025-12-18",1,1
"2025-12-19",0,0
"2025-12-20",1,1
"2025-12-21",0,0
"2025-12-22",0,0
"2025-12-23",0,0
"2025-12-24",1,1
"2025-12-25",0,0
"2025-12-26",0,0
"2025-12-27",0,0
"2025-12-28",0,0
"2025-12-29",2,2
"2026-01-15",0,0
"2026-01-17",0,0
"2026-01-19",0,0
"2026-01-20",0,0
"2026-01-21",1,1
"2026-01-22",0,0
"2026-01-23",0,0
"2026-01-24",0,0
"2026-01-25",0,0
"2026-01-26",0,0
"2026-01-27",0,0
"2026-01-28",0,0
"2026-01-29",0,0
"2026-01-30",0,0
"2026-01-31",0,0
