visitor_timestamp,total_visitors,unique_visitors
"2025-06-04",6,1
"2025-06-08",4,1
"2025-07-26",1,1
"2025-09-09",2,2
"2025-12-19",0,0
"2025-12-20",0,0
"2025-12-21",0,0
"2025-12-22",0,0
"2025-12-23",0,0
"2025-12-24",0,0
"2025-12-25",0,0
"2025-12-26",0,0
"2025-12-27",0,0
"2025-12-28",0,0
"2025-12-29",0,0
"2026-01-15",0,0
"2026-01-17",0,0
"2026-01-19",0,0
"2026-01-20",0,0
"2026-01-21",0,0
"2026-01-22",0,0
"2026-01-23",0,0
"2026-01-24",0,0
"2026-01-25",0,0
"2026-01-26",0,0
"2026-01-27",0,0
"2026-01-28",0,0
"2026-01-29",0,0
