clone_timestamp,total_clones,unique_clones
"2025-10-05",99,56
"2025-10-06",10,7
"2025-10-07",2,2
"2025-10-09",1,1
"2025-10-11",26,16
"2025-10-12",27,18
"2025-10-13",2,2
"2025-10-14",3,2
"2025-10-18",14,10
"2025-10-19",2,1
"2025-10-21",5,4
"2025-10-22",3,3
"2025-10-25",4,4
"2025-10-26",10,7
"2025-10-27",3,2
"2025-10-28",20,13
"2025-10-29",24,14
"2025-10-30",11,5
"2025-10-31",4,3
"2025-11-01",9,5
"2025-11-02",5,3
"2025-11-03",2,1
"2025-11-04",31,3
"2025-11-05",15,7
"2025-11-06",3,2
"2025-11-07",4,2
"2025-11-08",7,2
"2025-11-09",16,8
"2025-11-11",13,4
"2025-11-12",14,4
"2025-11-13",1,1
"2025-11-14",1,1
"2025-11-16",1,1
"2025-11-18",1,1
"2025-11-23",1,1
"2025-11-28",2,2
"2025-11-30",1,1
"2025-12-01",6,6
"2025-12-02",2,1
"2025-12-03",3,2
"2025-12-04",1,1
"2025-12-06",1,1
"2025-12-07",1,1
"2025-12-14",1,1
"2025-12-16",1,1
"2025-12-18",2,2
"2025-12-19",1,1
"2025-12-20",0,0
"2025-12-21",0,0
"2025-12-22",0,0
"2025-12-23",0,0
"2025-12-24",0,0
"2025-12-25",0,0
"2025-12-26",0,0
"2025-12-27",1,1
"2025-12-28",0,0
"2025-12-29",1,1
"2025-12-30",1,1
"2025-12-31",2,1
"2026-01-01",22,16
"2026-01-02",2,2
"2026-01-03",1,1
"2026-01-04",0,0
"2026-01-05",0,0
"2026-01-06",1,1
"2026-01-07",1,1
"2026-01-08",0,0
"2026-01-09",0,0
"2026-01-10",0,0
